ring_id,datetime_trunc,year,reporting_type,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,datetime,Range_flag,evaluator,replacement_value,explanation
0,8/3/2019 23:01,2019,M,8/3/2019,23:01:50,0,1079,600,0,0,0,0,67,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:01,layer_1_concentration,YF,1079,real high values at night
0,8/3/2019 23:07,2019,M,8/3/2019,23:07:50,0,1062,600,0,0,0,0,67,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:07,layer_1_concentration,YF,1062,real high values at night
0,8/3/2019 23:08,2019,M,8/3/2019,23:08:50,0,1093,600,0,0,0,0,191,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:08,layer_1_concentration,YF,1093,real high values at night
0,8/3/2019 23:09,2019,M,8/3/2019,23:09:50,0,1102,600,0,0,0,0,192,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:09,layer_1_concentration,YF,1102,real high values at night
0,8/3/2019 23:10,2019,M,8/3/2019,23:10:50,0,1093,600,0,0,0,0,191,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:10,layer_1_concentration,YF,1093,real high values at night
0,8/3/2019 23:11,2019,M,8/3/2019,23:11:50,0,1104,600,0,0,0,0,192,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:11,layer_1_concentration,YF,1104,real high values at night
0,8/3/2019 23:12,2019,M,8/3/2019,23:12:50,0,1105,600,0,0,0,0,203,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:12,layer_1_concentration,YF,1105,real high values at night
0,8/3/2019 23:13,2019,M,8/3/2019,23:13:50,0,1112,600,0,0,0,0,217,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:13,layer_1_concentration,YF,1112,real high values at night
0,8/3/2019 23:14,2019,M,8/3/2019,23:14:50,0,1128,600,0,0,0,0,235,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:14,layer_1_concentration,YF,1128,real high values at night
0,8/3/2019 23:15,2019,M,8/3/2019,23:15:50,0,1092,600,0,0,0,0,250,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:15,layer_1_concentration,YF,1092,real high values at night
